Job Title,Company,Salary,Job Description,Work Location,Department,Employment Type,Shift,Experience,Education,Avg_Salary
ASP.Net Developer,Nyati Technologies Private Limited,,"ASP.Net Developer, We are looking for an .Net Developer. We have immediate work and ideally want to find a long-term partner with the possibility of full-time employment if they are interested., Technical Requirements, ASP.NET/C# 2.0, 3.5, JS, JQuery & Ajax, HTML/XHTML/CSS, MySQL & SQL Server2000,2005, Windows Services, Windows Forms, MS Windows / XP / Vista / Windows 7, Plus Skills, SQL Reporting Services, Analysis Services and Business Intelligence., HTML/CSS/JavaScript/AJAX., Ability and desire to learn and adopt new technology quickly., Understanding of Object Oriented Analysis & Design, Multi Layer Architecture and Patterns., Solid understanding of and experience using web services., Experience implementing and maintaining ecommerce applications., Team management.",Pune,Software Engineering,Full Time,Day Shift,Freshers only,NaN,17500
PHP Developer,Walstar Technologies,,"PHP Developer, The PHP Developer role in Kolhapur requires a candidate with 0-3 years of experience in PHP development. The responsibilities include developing and maintaining dynamic web applications, collaborating with the team to design and launch new features, and troubleshooting and debugging applications. The ideal candidate should have a strong understanding of PHP, MySQL, HTML, CSS, and JavaScript, and should be able to work independently and as part of a team.",Kolhapur,Software Engineering,Full Time,Day Shift,Any experience,NaN,17500
PHP Programmer,IT Nucleus Websolutions,,"PHP Programmer, Qualification, :- B.Tech/B.E./M.C.A./Diploma 1 year (I.T.), Experience, :- Minimum 6months –1year of experience working in PHP programming., Description, :- The person is required to work in PHP and my sql database, he should able to solve his problem himself using internet and can solve problems of other members in his team.",Delhi,IT & Information Security,Full Time,Day Shift,Any experience,NaN,17500
PHP Developer,Eminenture Private Limited,,"PHP Developer, Responsibilities, Must have a strong understanding of UI, Strong knowledge of the open source of any of these-WordPress, Joomla, Drupal, Magento, Good understanding on MVC framework, Concrete knowledge of security principles and how to apply to e-Commerce applications, Expertise in web applications development and programming languages such as HTML5, CSS3, JavaScript, JQuery and API’s Solid, Able to make on-time delivery of the project per specifications with quality, Education, B.E./ B.Tech/ BCA",Delhi,Software Engineering,Full Time,Day Shift,Freshers only,NaN,17500
PHP Developer,Zeki Software Solutions,,"PHP Developer, Experience, 0 - 3 Years, working Knowledge in web technologies and MYSQL ( HTML 5, CSS 3, Java Script, JQuery), Fresher with good knowledge of OOPs and MySQL., Basic understanding of front-end/UI technologies., Must be able to write - clean, well designed code., Good Analytical and Communication skills is a must., Develop a deep understanding of integration and dependencies with other systems and platforms within the architecture landscape., Skills, PHP, HTML, CSS, JQUERY, MySql, Ajax, Javascript",Mumbai,Software Engineering,Full Time,Day Shift,Any experience,NaN,17500
Android Developer,Maxgen Technologies Private Limited,,"Android Developer, Roles and Responsibilities:, Design, develop, modify and implement mobile applications using Android., Implement creative, usable and compelling user interfaces., Object Oriented Programming Skills, Strong in Core Java, and Android SDK implementation & good knowledge on Web Services, SOAP, JSON, Expertise in Android Studio, ADT & profiling tools like DDMS & MAT., Strong debugging & troubleshooting skills., Work on bug fixing and improving application performance., Good understanding Android framework like Activity Manager, Resource Manager, Location Manager and Notification Manager., What we are looking for:, Strong knowledge in core Java, OOPS, Android, Knowledge in Firebase, Knowledge in how to deploy app in Play Store, Immediate Joining",Ahmedabad,IT & Information Security,Full Time,Day Shift,Any experience,NaN,17500
Android Developer,Ikeda Limited,,"Android Developer, Requirements: Candidates must have completed projects in Flutter and Android., Minimum Qualification: Graduate, Location: Gurgaon",Gurgaon,Software Engineering,Full Time,Day Shift,Freshers only,NaN,17500
Android Developer,CryptoMize,,"Android Developer, The Android Developer role in Delhi involves developing, testing, and maintaining high-quality mobile applications. The candidate will work closely with the design and product teams to create user-friendly interfaces and optimize performance. Strong knowledge of Java and Android SDK is required, along with the ability to troubleshoot and debug complex issues. The ideal candidate should be familiar with Agile methodologies and have a passion for mobile technology.",Delhi,Software Engineering,Full Time,Day Shift,Any experience,NaN,17500
Embedded Software Developer,Hashstudioz Technologies Private Limited,,"Embedded Developer, Roles & Responsibilities :, Strong Coding knowledge in Embedded C like C, C++, Python., Willing and adaptable to learn new technologies., Able to work individually with minimal supervision and in a team., Good Analytical, problem-solving and communication skills, Requirement :, Development experience with ESP32 board based applications., Exposure to scripting languages, Hardware Skills - AVR, 8051,PIC, ARM, ST, Peripheral Interface - I2C displays, ZigBee, ESP, LTE, GPS, Generic devices, Software Tools - Atmel Studio, Arduino, MPLAB IDE, Proteus, IDLE, JUPYTER, Keil.",Noida,Software Engineering,Full Time,Day Shift,Any experience,NaN,17500
Web Developer,CryptoMize,,"Web Developer, The Web Developer role in Delhi involves the following responsibilities and requirements: - Developing and maintaining websites and web applications - Collaborating with design and development teams - Writing clean, efficient code using HTML, CSS, and JavaScript - Ensuring website functionality and optimization - Troubleshooting and debugging website issues - Knowledge of web development frameworks and tools - Understanding of responsive design principles and cross-browser compatibility - Strong problem-solving and communication skills - Ability to work independently and in a team environment",Delhi,Software Engineering,Full Time,Day Shift,Any experience,NaN,17500
Full Stack .NET Developer,Techneurons Consulting Solutions,,"Full Stack Dot.Net Developer, Full-stack developer in .NET/SQL Server/IIS with at least 6 month of experience., Familiarity in ASP.NET Framework, Excellent working knowledge or study knowledge of .NET coding in C#, VB.Net, Excellent working knowledge or study knowledge in HTML5, CSS, JavaScript, Excellent database programming skills, Good UI development skills, Knowledge in server management, IIS, Good working knowledge in SVN/GIT, Familiarity with Cloud Computing with AWS - .NET SDK, etc., Should be tech-savvy, both on hardware and software novelties, Excellent documentation skills, Descent communication skills, Good training and team development skills, Required Skills:, Design implement and support highly scalable applications and web services using Microsoft technologies (ASP.NET, C#, SQL Server,). Candidates should have the ability to work along with development teams to ensure timelines and quality deliveries.Take responsibility for code quality and on-time completion of task an d Lead the team., Education, UG :B.Tech/B.E. in Any Specialization, PG :MCA in Any Specialization, Salary - 30% Hike on CCTC, JAVASCRIPT KNOWLEDGE IS REQUIRED, Min 6 month year of Experience or Knowledge in VB.Net. C#, DotNet Core, Candidate should have a minimum of 6 month years of experience with the IT industry., Minimum 6 mont years experience in designing and developing applications on the .NET platform., More than 6 month years of experience or Knowledge with SQL, Java Script, and MVC, Proficient understanding of build/release management processes., Must possess excellent logical, analytical and communication skills.",Kochi,IT & Information Security,Full Time,Day Shift,Any experience,NaN,17500
Junior PHP Developer,Coleda Pvt Ltd.,,"Jr.PHP Developer, We are looking for a talented and enthusiastic Jr. PHP Developer to join our team. The ideal candidate will have a strong foundation in Core PHP, experience with APIs, and the ability to manage databases using MySQL. This role is perfect for a recent graduate or a developer with some experience who is eager to solve complex problems and grow in a fast-paced environment., Job Role :, Develop, test, and maintain web applications using Core PHP., Integrate and manage third-party APIs to enhance application functionality., Write and optimize SQL queries for MySQL databases., Collaborate with senior developers to troubleshoot and resolve application issues., Participate in the full software development lifecycle, including planning, coding, testing, and deployment., Contribute to code reviews and ensure adherence to best practices in coding., Work closely with cross-functional teams to understand requirements and deliver high-quality solutions., Skills:, Creative and outside the box thinker, Troubleshooting issues and solving problems where needed, Contributing to all phases of software development, Technical Skill:, Core PHP: Strong understanding of Core PHP concepts and syntax., API Integration: Basic experience with integrating and working with RESTful APIs., MySQL: Proficiency in writing and optimizing SQL queries for MySQL databases., Problem-Solving: Strong analytical and problem-solving skills, with the ability to tackle complex challenges., Version Control: Familiarity with Git or other version control systems., HTML/CSS/BootStrap/JavaScript: Basic understanding of front-end technologies is a plus., EDUCATION:, Bachelor’s degree in Computer Science, Information Technology, or a related field., Relevant certifications or coursework in PHP, API development, or database management is an advantage., Open to recent graduates or candidates with up to 6 months – 1 year of experience in a similar role or 4-5 Individual Projects in above mentioned technologies.",Pune,Software Engineering,Full Time,Day Shift,Any experience,NaN,17500
Game Tester,Rockstar Games,,"Game Tester, ROCKSTAR GAMES is on the lookout for skilled GAME TESTERS to join our Bangalore studio in India. If gaming is your passion, this could be your perfect fit!, We are seeking individuals eager to meet our team at the Bangalore office on April 5, 2025. Don't miss this chance to collaborate on thrilling game projects with an energetic team., To secure your slot, kindly forward your updated CV and cover letter to, jobs@rockstarindia.com, .",Bangalore,Media Production & Entertainment,Full Time,Day Shift,Any experience,NaN,17500
Junior Software Programmer,Ontash India Technologies,,"Junior Software Programmer, Job Description:, Educational Qualification: MCA/ B.Tech-CS, Proficiency in Java/Python, Experience - Fresher to one year., Role: Software Programmer, Industry Type : IT-Software, Software Services, Functional Area : IT Software - Application Programming, Maintenance, Employment Type : Full Time, Permanent, Role : Junior Software Programmer, Education:, UG : B.Tech- CS in Computers, PG : MCA / M.Tech in Computers, Key Skills:, Java/Python, MySQL/SQL Server, Job Location, Government Cyber Park - Calicut - Kerala, Industry, Software services and products, IT",Kozhikode,Software Engineering,Full Time,Day Shift,Any experience,NaN,17500
Software Engineer,Honeywell International India Pvt Ltd,,"Software Engr I - C++, Innovate to solve the world's most important challenges, Join a team that designs, develops and integrates highly complex software applications within Honeywell.  You will be an active and integral member of a team to achieve the completion of goals. You will also generate innovative solutions in work situations; trying different and novel ways to deal with problems and opportunities., Key Skills, Must have development experience with in-depth exposure to C, C++ on Windows Development., Hands on MQTT protocol and TCP socket communication, Knowledge of Relational databases, SQL., Experience in test driven development (TDD – MS Test,Google Test), Working knowledge on Data Structure, Multithreading, OOPS, Design Pattern, Algorithms and best practices in, Application Cyber Security, Experience with Agile software development and Basic understanding of DevOps practices., Basic understanding of cyber security concepts, Expert with modern source code management systems, such as GitHub or BitBucket, Excellent debugging skills, Ability to learn new technologies quickly, Good communication skills, in both verbal and written, YOU MUST HAVE, Bachelor’s degree from an accredited institution in a technical discipline such as the sciences, technology, engineering or mathematics, WE VALUE, Understanding various software development lifecycle, Demonstrate the ability to develop efficient and high quality software, Knowledge of software configuration management and change management practices, Diverse and global teaming and collaboration, Effective communicator, Can quickly analyze, incorporate and apply new information and concepts, Ability to consistently make timely decisions even in the face of complexity, balancing systematic analysis with decisiveness, Ability to convey subtle or complex messages clearly, as appropriate for the topic and audience, Ability to code in multiple languages, Additional Information, JOB ID:, HRD260648, Category:, Engineering, Relocation Tier:, Not Applicable, Security Clearance:, Aviation Authority (FAA for US):, Band:, 03, Referral Bonus:, 15000, Requisition Type:, Standard Requisition, US Citizenship:, FLSA Statement:, FLSA CODE:, Exempt",Bangalore,Engineering - Hardware & Networks,Full Time,Day Shift,Any experience,NaN,17500
Software Engineer,SapphireIMS,,"Software Engineer, Elegibility Criteria:, BE/MCA with an aggregate of 65% throughout their academics, Must have passed out in 2022 or 2023, Should be trained from any Java institute., Skills- Core Java and Advanced Java are mandatory. Spring and Hibernate are optional., Good analytical and problem solving skills",Bangalore,IT & Information Security,Full Time,Day Shift,Freshers only,NaN,17500
Software Engineer,Capgemini Technology Services India Limited,,"Associate Software Engineer, Job Description, Works in the area of Software Engineering, which encompasses the development, maintenance and optimization of software solutions/applications., 1. Applies scientific methods to analyse and solve software engineering problems., 2. He/she is responsible for the development and application of software engineering practice and knowledge, in research, design, development and maintenance., 3. His/her work requires the exercise of original thought and judgement and the ability to supervise the technical and administrative work of other software engineers., 4. The software engineer builds skills and expertise of his/her software engineering discipline to reach standard software engineer skills expectations for the applicable role, as defined in Professional Communities., 5. The software engineer collaborates and acts as team player with other software engineers and stakeholders., Job Description - Grade Specific, Is the entry level in Software Engineering with a foundational understanding on programming concepts, software design and software development principles. Consistently works to direction with reducing supervision, producing accurate and reliable results. They are expected to be eager to learn and know when to ask questions and check for understanding. Understands and follows work processes. Is aware of costs related to own work. Organises own time to deliver against tasks set by others with a short term horizon. Works co-operatively with others to achieve team goals and has a direct and positive impact on project performance. Actively seeking feedback to improve and starting to manage own career with support., Skills (competencies), Verbal Communication, Written Communication, Experience Level, Experienced Professionals",Pune,Software Engineering,Full Time,Day Shift,Any experience,NaN,17500
Computer Operator,Shiv Industries,₹8000- ₹10000,"Job Description: Computer Operator, 📍 Company: Shiv Industries, 📍 Location: New Somnath Industrial Area, Near Ice Factory, Anjali Pan Street, Kotharia, Rajkot, 👩‍💻 Position: Computer Operator, 👩 Gender: Only Female Candidates Can Apply, 🖥️ Experience: Freshers & Experienced Both Can Apply, Job Responsibilities:, ✅ Operate computers for data entry and stock management., ✅ Work with MS Office (Word, Excel, etc.) for documentation and reporting., ✅ Read, compose, and send professional emails., ✅ Maintain and update stock records in the system., ✅ Coordinate with internal teams for smooth operations., Requirements:, 🔹 Basic knowledge of MS Office (Word, Excel, etc.), 🔹 Ability to read and send emails professionally., 🔹 Willingness to learn and adapt to new processes., 🔹 Good communication and organizational skills., Benefits:, 💼 Training Provided for candidates eager to learn., 📈 Growth opportunities within the company., 🕒, Stable working hours in a supportive environment., If you're interested, apply now! Call: Shiv (Employer)9328392661🚀","Shiv Chowk St, Swati Park, AREA-5, Maruti Steel Rd, Rajkot, Kotharia, Gujarat 360022, India",Admin / Back Office / Computer Operator,Full Time & Part Time,Day Shift,Any experience,10th or Below 10th,9000
Computer Operator,Honey Universal Digital Private Limited,₹10000- ₹15000,"Greetings!!!, We are hiring, COMPUTER OPERATOR / MS OFFICE EXECUTIVE, For our company located in Vadapalani., We provide, Salary upto Rs.15K based on Experience, Female Candidates only, Should have, Knowledge in MS Office, is added advantage, *Microsoft Office Specialist*JD, The Microsoft Office Specialist at Honey Translation Services will be responsible for efficiently, managing and editing documents using Microsoft Office Suite, ensuring accuracy and formatting consistency., The role includes providing technical support to team members, troubleshooting software issues, and assisting in the preparation of client-ready materials. Strong proficiency in Word, Excel, PowerPoint, and Outlook is required to enhance workflow and productivity., FOR MORE DETAILS CALL / WHATSAPP - 8925722284, INTERVIEW LOCATION, 184/3, 2nd floor, Chandamama Building, Arcot Rd, Vadapalani, Chennai, Tamil Nadu 600026, LANDMARK - opposite to Hotel Aadithya, near Viveks,","Vivek,Vadapalani. Chandamama Building 2nd floor ,Vadapalani( opposite to Kamala theater )",Department,Employment type,Shift,Any experience,12th Pass,12500
Software Developer,Vais Engineering,₹10000- ₹25000,"Job Title: Software Developer - Application Development, Location: Vais Engineering Pvt. Ltd., Deganga, Taki Road, North 24 Parganas, West Bengal - 743423, Job Description:, We are seeking a skilled Software Developer to join our Application Development team at Vais Engineering Pvt. Ltd. The ideal candidate will be responsible for designing and developing computer applications to meet specific business needs., Key Responsibilities:, Analyze user requirements and design software solutions., Write efficient, scalable, and reliable code using programming languages such as Java, C++, Python, or Ruby., Collaborate with UI/UX designers, system administrators, and other stakeholders to ensure software solutions meet user needs., Test and debug software to ensure proper functionality before release., Maintain and update existing software applications as needed., Stay current with new technologies and programming languages to improve skills and productivity., Write technical documentation to explain software functionality and usage., Troubleshoot and resolve software issues, working with customer support teams as needed., Requirements:, Degree in Computer Science or a related field., Proficiency in programming languages such as Java, C++, Python, or Ruby., Experience in building and maintaining applications, including mobile and web applications., Strong problem-solving skills and attention to detail., Excellent communication and teamwork abilities., Passion for developing software solutions that improve business processes., Why Join Us:, Be part of a team creating innovative products and solutions., Work on path-breaking projects with a focus on financial inclusion., Opportunity to acquire new patents and productionize them into viable technologies., Collaborate with a passionate and skilled team.","Deganga, West Bengal 743423, India",Software Engineering,Full Time,Day Shift,Any experience,Graduate,17500
Digital Process Associate,Amazon India Limited,,"Associate - Digital Process, Digital Competitive Intelligence, Description, The DCI Operations team engages in requirement collection, planning, feasibility analysis, testing, mapping, auditing, analyzing, and reporting to Digital Acceleration (DA) business and program management functions.  We enhance services by manually constructing mappings between Amazon products and other databases/web pages, such as online repositories, competitors' websites, social media, etc., until the process is automated, and we provide audit support to ensure accuracy after automation.  We provide Digital Businesses with a variety of efficient, dependable, and adaptable services, such as new competitor identification and certification for price/selection monitoring, Marketplace analysis, Lowest Price recommendation, Widest Selection opportunity, Contractual audits, Product Correlation, and Data extraction., Key job responsibilities, The Associate must use their Computer skills and Language expertise to follow pre-defined Standard-Operating-Procedures (SOP) with accuracy in processing.  They must deliver results that meet or exceed expectations and should perform root cause analysis on errors and recommend process improvements to drive efficiency.  They should be a team player and be willing to share his/her knowledge.  The Associate should generate ad-hoc operational reports, carry out tactical communication to the stakeholders and ensure on-time resolution of tickets., Key Performance Areas:, - Gain a thorough understanding of the business and operational area., - Identify, analyze, and resolve repetitive issues., - Ensure all process documents are managed and updated., Knowledge & Skills/Business-Acumen/Education & Experience, - Comfortable in a fast-paced, multi-tasked, high-energy environment., - Creative and analytical problem-solver with a passion for operational excellence., - A bachelor’s degree or higher is required., - Excellent verbal and written communication-skills in  English with the ability-to-handle external and internal customers., - Flexible work schedule (Weekend Shifts, Late Evening Shifts etc.), - Proficiency in computer applications., - Provide reports and data as requested and support the Team Lead on escalations., - Provide inputs to training and help in shaping training content., Basic Qualifications, -   A bachelor’s degree or higher is required, -   Working knowledge of computers (Basic MS Office related skills), -   Basic Analytical and Logical Reasoning Skills., Preferred Qualifications, In addition to the Basic qualifications, below are other preferred qualifications:, - Working knowledge of MS Excel and Macros., Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit, https://amazon.jobs/content/en/how-we-hire/accommodations, for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.",Chennai,IT & Information Security,Full Time,Day Shift,Any experience,NaN,17500
Associate Software Engineer,Accenture India Private Limited,,"Associate Software Engineer (ASE), What would you do?, As an Associate Software Engineer you would largely be involved in:, Design, build, test, assemble, support and configure application using business requirements, Understand business drivers that will impact performance and deliver software to those expectations, Bake technology trends into solutions; Participate in the development of automation solutions, new functionality and technologies and integrate them in existing solutions, Responsible for incident resolution and support extended to customers through voice interaction/email/chat/remote support, What we need?, We would love you to have:, Ability to anticipate and resolve business issues with agility, Multi-disciplinary and versatile with the aptitude to learn and apply new skills faster, Good analytical and problem-solving skills and proficient in verbal and communication skills, Deliver code, to time and quality expectations and participate in peer reviews, Take ownership of the successful implementation of the solution, Support infrastructure operations and /or manage delivery for IT production system and services, Flexibility to relocate for project deployment to any part of India and work in 24X7 shifts basis business requirement, Also, the below mentioned will be preferred:, Basic understanding of ABAP Development on HANA, CDS, AMDP, Performance Analysis, Experience or knowledge in configuration, customization of Salesforce.com applications, Good working knowledge in J2EE and full-stack development, Knowledge and development experience of .NET (ASP.NET/ASP.NET MVC), Test automation engineering, Creation of test designs, test processes, test cases and test data, Apply business and functional knowledge including testing standards, guidelines, and testing methodology to meet the teams overall test objectives, Responsible for designing testing scenarios for usability testing, Prepare all reports related to software testing carried out, Analyze the results and then submit the observations to the development team, Eligibility Criteria:, Minimum criteria- Any engineering stream of B.E/B.Tech/M.E/MTech or MCA or MSc (CS/IT/Computer Applications/Data Science/Computer Science & Applications) - any year of pass out till 2024., No active backlogs during application and/or during onboarding., Candidate should not have more than 23 months of full-time experience., Candidate should not have appeared for Accenture Recruitment assessment/interview process in the last three months., Candidate should have completed the relevant degree (eligible for this job role) in the stipulated duration of the degree. Hence, there should be no gaps during the course of your degree. E.g. candidate must complete the 4 year B. Tech course in 4 years., Students must have Indian citizenship., Please note that Bhutan and Nepal nationals can work in India without a need for obtaining a work visa. All other foreign nationals require work visa or an Overseas Citizenship of India (OCI) or Person of Indian Origin (PIO) card to work in India.",Pune,Software Engineering,Full Time,Day Shift,Any experience,NaN,17500
Software / Web Developer Intern,Smart Finance,₹12000- ₹25000,Responsibilities of candidates include: • designing and implementing applications • developing and testing software • and resolving technical issues that arise • Fixing bugs,"Plot no. 3, 1st Floor, Visalatchi Street, Balavinayagar Nagar Arumbakkam, Chennai-600106",Department,Employment type,Shift,Any experience,Graduate,18500
Software / Web Developer	Intern,Namrata Universal,₹11000- ₹27000,"Only Interested candidates around Delhi-NCR can apply, Note - its 6 Months internship. Please do not apply if you cannot be available for face to face interview or are outside Delhi NCR Responsibilities of candidates include: • designing and implementing applications • developing and testing software • resolving technical issues that arise • fixing bugs, Also required 5 intern for python Intern","Raj Nursing Home & Hospital, Shalimar Garden Main Road, Shalimar Garden Main B-block, Block A, Shalimar Garden, Ghaziabad, Uttar Pradesh, India",Software Engineering,Full Time,Day Shift,Freshers only,Graduate,19000
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500
